name,popularity,followers,artist_uri
S.E.S.,36,66421,spotify:artist:61HUG80Xma4rnXsqfZkzeM
Rocket Punch,36,177806,spotify:artist:4hozqATxbpy9TwKWRT8QVO
woo!ah!,38,194008,spotify:artist:7mgY992t7YTx6UELsoIMRa
CLASS:y,39,131725,spotify:artist:3jcfHmXvjOgHzfyVE55GzZ
GD X TAEYANG,40,343010,spotify:artist:3HJVw8aEtFqoc3raJVE8am
NU'EST W,39,629034,spotify:artist:0gdWU9IX6LIiuPvXh95pas
NATURE,39,195881,spotify:artist:5WUom9mTTEewPdUmI4qnQi
En Butter,42,3850,spotify:artist:3X6XIt8zNXvrNzxb1R8TW5
SUPER JUNIOR-D&E,42,664958,spotify:artist:3EfnKIG9827OXkcQQT7HEI
U-KISS,39,370194,spotify:artist:2GB76Lm833jVI5kLvKEB7Z
E'LAST,33,177159,spotify:artist:0NztgA9b1KEJLjLVqMwd9y
BLITZERS,38,97956,spotify:artist:3Exoh42YMeqnUvYahAGgUE
ALICE,34,242608,spotify:artist:1mgzY8CsK8lyJy96tT8bV5
SISTAR19,38,195095,spotify:artist:5Q0U6ogBrMX2oxmxy5OTzU
9MUSES,36,222820,spotify:artist:55tJwpPIz9BMrSLM45iEXX
HIGHLIGHT,38,520115,spotify:artist:3T0fMfxYBU3q9oAUAdPIsr
HELLOVENUS,35,264638,spotify:artist:3TW9U1f93tpGBsEtCSf7JG
PRISTIN V,34,481857,spotify:artist:4zTNiArZgV1SKWATSFshVI
CSR,39,53509,spotify:artist:06MX3Ecb8PHyNFmq8irTWC
LOONA/yyxy,33,266779,spotify:artist:5JPKwLsHGaPIlxqHiF29e4
DIA,34,206440,spotify:artist:5Pcx98OUnL52aGZRRQx5v8
0WAVE,35,16195,spotify:artist:1nxCRfWuzM4GSCVfrqtlxz
Apink CHOBOM,33,19357,spotify:artist:1eDD6vNEyVQXGev7af156d
TAN,33,43377,spotify:artist:34Ecdzh8yGKt2YvPG37PKu
JUST B,33,165423,spotify:artist:2f0bPttugNpkg34HIxBIWe
Jus2,35,376667,spotify:artist:1pXX6uuufA0Zrk4Ksuh4nv
LADIES' CODE,32,161232,spotify:artist:4epPY1AW9lQeVUM1XaFiwi
LOOΠΔ 1/3,31,255595,spotify:artist:4u9YxYzCjpMjnMcwNu9fzy
Lapillus,39,83046,spotify:artist:7bcMJG1TkYFFD9Fit3STLJ
NINTYSIX,39,3631,spotify:artist:6PR5lyCpN2aFKgHUvY9B3O
Girls' Generation-Oh!GG,37,200958,spotify:artist:1foL9hLC9M6U94dINtOYfb
LIGHTSUM,33,118411,spotify:artist:57HNdw2ObRmfwWHG8Xhs8t
SECHSKIES,33,146116,spotify:artist:6uRyNreOHUvWPNGnKfIo27
Girls' Generation-TTS,36,605082,spotify:artist:7AKHnZVqwXYuUwWJ8UGL5q
MBLAQ,36,302997,spotify:artist:14f1WN9TUDVBK4sHUStmLG
NINE.i,34,35423,spotify:artist:4e8UtPYfVPBzWO4PY8CZye
DKZ,33,89189,spotify:artist:31eyTcfjAke5hFX3az3nRE
DreamNote,31,98366,spotify:artist:3ILvL0HM0cST4iR8RzQh2V
PRISTIN,32,609821,spotify:artist:6VAphrHp0Oc88qg9BDaH9D
Ciipher,37,78567,spotify:artist:18VvNIaKQgZXhSBnu7p5z7
BVNDIT,32,156918,spotify:artist:5dEBuZjTtE68uDgCs23Kuv
Gguggugi,39,3244,spotify:artist:0SLGKxtZbiQFfJGtJ8TDTo
LABOUM,33,169299,spotify:artist:4iO5uKMUphLqQ20TfrdZx3
gugudan,32,482272,spotify:artist:0h7XZWgoxlY49uSUj7MVRY
HIGH4,35,62349,spotify:artist:3cpG0SJLIJ1qpQfjmlWlzo
LIMELIGHT,32,42938,spotify:artist:1mDDvUPSs2dSr4QKAQmOql
Fin.K.L,29,32179,spotify:artist:2aRLyjYp7WPr4EkjkI1gvS
CRAXY,30,34942,spotify:artist:3C13AlJZ4QWHSruAWe9VPI
YOUNITE,33,51404,spotify:artist:4l4eMvpA4K7X02j08cbkNV
Secret,33,201119,spotify:artist:503DjcVO5Ku1NgLPhVuNg7
1TEAM,26,128026,spotify:artist:3u9xBa2fe8b9jPf5JYFRH3
WJSN Chocome,31,87946,spotify:artist:5VyqN5hNo0TbYF0ICU77nn
cignature,30,139365,spotify:artist:5x9WawpXGR82PWDFk9CKYQ
VROMANCE,35,51064,spotify:artist:5YPW3OmiqnqnQaFjloAvA7
KHAN,30,25459,spotify:artist:2dixWDh9f2COEfikojSd39
FIESTAR,30,157253,spotify:artist:3IVjXrnR0npv1LY24kQSzd
GHOST9,28,140899,spotify:artist:7f953Uuid7Xrd0nXQ3V3s1
TRENDZ,30,67369,spotify:artist:6Bmr9e9x44iib7equMj5Qj
Dalshabet,30,177030,spotify:artist:10xsuRNvidaOLxWd3fRIel
THE7,29,24637,spotify:artist:76P1bgqm0Ign9ZDfSjBSbc
ATBO,31,38173,spotify:artist:3bwO3gNZVmHwaBttv739g7
Block B - BASTARZ,30,252134,spotify:artist:70ptvBQye3QMlbuTKrF1qb
Stellar,27,283542,spotify:artist:1rTwKjYcA7diHAD2c8ZozT
MIRAE,30,161441,spotify:artist:3cI5n4TdsnqzKxYPkQLs4b
VANNER,30,44120,spotify:artist:05pkCt3DQY5ZC41u7WMk5D
TO1,30,95838,spotify:artist:405HlkQ0VXP4NUYaGxsgsg
BOYFRIEND,33,329037,spotify:artist:2Pw8E6zZoeuksVWtyZPnzd
UP10TION,29,505473,spotify:artist:2LjaeuGS0ubYXZfNihGp9y
KNK,28,289677,spotify:artist:5zx2slDKDXNn1e6779RzPd
Crayon Pop,31,159285,spotify:artist:0ODX6aegsZkBmBeMA5qqwi
PRODUCE 48,34,428407,spotify:artist:5ORE0ElD7HiONogJZzhKrS
ICHILLIN',29,41552,spotify:artist:5357DGet3KsoJNwVkV7qvy
PATTERN,20,5876,spotify:artist:4elUOMiZMJjFKBv13kA0vg
god,28,33484,spotify:artist:1nTCpd63NkuGGpCIbo4Ywl
RAINBOW,30,24788,spotify:artist:7xDyxRXgFgOZhdtLtkYR1y
PinkFantasy,28,93119,spotify:artist:5syu5kN4a5f4rgMCRGlnZp
WJSN THE BLACK,27,54135,spotify:artist:0M3eRYg8ULjCtLFvhc5Orb
BAE173,27,88820,spotify:artist:60315n11JElel8KhdHg8jM
BESTie,26,161877,spotify:artist:1HiZjIv6iLp9cs5vX0AJKo
Rania,26,69945,spotify:artist:5sUKi0QlHVxvsCzmrhJsFO
SUPER JUNIOR-K.R.Y.,35,272124,spotify:artist:5Kdp1Iq26eCz7XbPxOgt7F
XODIAC,44,43130,spotify:artist:1Yhs3H3tkZhk4mSQgzECWb
UNIQ,28,129336,spotify:artist:0ewnmx72rVozQtvslLl0t1
BDC,26,118945,spotify:artist:3FgebbL1Lp8wynkXgtscfd
ToppDogg,25,152880,spotify:artist:03Ejz4OkKzGnTRKZE3KwRN
ILY:1,26,37660,spotify:artist:3FvFhUWP00xtwBrHtby3v8
AIMERS,26,25122,spotify:artist:4U2eZzOZsobt9JHp0znP1L
XEED,23,26612,spotify:artist:6N6p7pQeB9kjLhvvS3L5j1
BTS,88,67432958,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
